subr_numb,cust_numb,telp_type,subr_stts,subr_type,sms_lang,ivr_lang,ussd_lang,comp_code,grup_code,blpd_code,cc_lang,last_chng_dttm,frst_swon_dttm,swon_dttm,swon_resn_code,card_numb
66812223008,52345433,T,A,,T,T,T,20,0,02,T,,,,0001,89234234234234200
66812223018,52345434,T,A,,T,T,T,20,0,02,T,,,,0001,89234234234234200
66812223028,52345435,T,A,,T,T,T,20,0,02,T,,,,0001,89234234234234200
66812223038,52345436,T,A,,T,T,T,20,0,02,T,,,,0001,89234234234234200
66812223048,52345437,T,A,,T,T,T,20,0,02,T,,,,0001,89234234234234200
66812223058,52345438,T,A,,T,T,T,20,0,02,T,,,,0001,89234234234234200
66812223068,52345439,T,A,,T,T,T,20,0,02,T,,,,0001,89234234234234200
66812223078,52345440,T,A,,T,T,T,20,0,02,T,,,,0001,89234234234234200
66812223088,52345441,T,A,,T,T,T,20,0,02,T,,,,0001,89234234234234200
66812223098,52345442,T,A,,T,T,T,20,0,02,T,,,,0001,89234234234234200
66812223108,52345443,T,A,,T,T,T,20,0,02,T,,,,0001,89234234234234200
66812223118,52345444,T,A,,T,T,T,20,0,02,T,,,,0001,89234234234234200
66812223128,52345445,T,A,,T,T,T,20,0,02,T,,,,0001,89234234234234200
66812223138,52345446,T,A,,T,T,T,20,0,02,T,,,,0001,89234234234234200
66812223148,52345447,T,A,,T,T,T,20,0,02,T,,,,0001,89234234234234200
66812223158,52345448,T,A,,T,T,T,20,0,02,T,,,,0001,89234234234234200
66812223168,52345449,T,A,,T,T,T,20,0,02,T,,,,0001,89234234234234200
66812223178,52345450,T,A,,T,T,T,20,0,02,T,,,,0001,89234234234234200
66812223188,52345451,T,A,,T,T,T,20,0,02,T,,,,0001,89234234234234200
66812223198,52345452,T,A,,T,T,T,20,0,02,T,,,,0001,89234234234234200
66812223208,52345453,T,A,,T,T,T,20,0,02,T,,,,0001,89234234234234200
66812223218,52345454,T,A,,T,T,T,20,0,02,T,,,,0001,89234234234234200
66812223228,52345455,T,A,,T,T,T,20,0,02,T,,,,0001,89234234234234200
66812223238,52345456,T,A,,T,T,T,20,0,02,T,,,,0001,89234234234234200
66812223248,52345457,T,A,,T,T,T,20,0,02,T,,,,0001,89234234234234200
66812223258,52345458,T,A,,T,T,T,20,0,02,T,,,,0001,89234234234234200
66812223268,52345459,T,A,,T,T,T,20,0,02,T,,,,0001,89234234234234200
66812223278,52345460,T,A,,T,T,T,20,0,02,T,,,,0001,89234234234234200
66812223288,52345461,T,A,,T,T,T,20,0,02,T,,,,0001,89234234234234200
66812223298,52345462,T,A,,T,T,T,20,0,02,T,,,,0001,89234234234234200
66812223308,52345463,T,A,,T,T,T,20,0,02,T,,,,0001,89234234234234200
66812223318,52345464,T,A,,T,T,T,20,0,02,T,,,,0001,89234234234234200
66812223328,52345465,T,A,,T,T,T,20,0,02,T,,,,0001,89234234234234200
66812223338,52345466,T,A,,T,T,T,20,0,02,T,,,,0001,89234234234234200
66812223348,52345467,T,A,,T,T,T,20,0,02,T,,,,0001,89234234234234200
66812223358,52345468,T,A,,T,T,T,20,0,02,T,,,,0001,89234234234234200
66812223368,52345469,T,A,,T,T,T,20,0,02,T,,,,0001,89234234234234200
66812223378,52345470,T,A,,T,T,T,20,0,02,T,,,,0001,89234234234234200
66812223388,52345471,T,A,,T,T,T,20,0,02,T,,,,0001,89234234234234200
66812223398,52345472,T,A,,T,T,T,20,0,02,T,,,,0001,89234234234234200
66812223408,52345473,T,A,,T,T,T,20,0,02,T,,,,0001,89234234234234200
66812223418,52345474,T,A,,T,T,T,20,0,02,T,,,,0001,89234234234234200
66812223428,52345475,T,A,,T,T,T,20,0,02,T,,,,0001,89234234234234200
66812223438,52345476,T,A,,T,T,T,20,0,02,T,,,,0001,89234234234234200
66812223448,52345477,T,A,,T,T,T,20,0,02,T,,,,0001,89234234234234200
66812223458,52345478,T,A,,T,T,T,20,0,02,T,,,,0001,89234234234234200
66812223468,52345479,T,A,,T,T,T,20,0,02,T,,,,0001,89234234234234200
66812223478,52345480,T,A,,T,T,T,20,0,02,T,,,,0001,89234234234234200
66812223488,52345481,T,A,,T,T,T,20,0,02,T,,,,0001,89234234234234200
66812223498,52345482,T,A,,T,T,T,20,0,02,T,,,,0001,89234234234234200
66812223508,52345483,T,A,,T,T,T,20,0,02,T,,,,0001,89234234234234200
66812223518,52345484,T,A,,T,T,T,20,0,02,T,,,,0001,89234234234234200
66812223528,52345485,T,A,,T,T,T,20,0,02,T,,,,0001,89234234234234200
66812223538,52345486,T,A,,T,T,T,20,0,02,T,,,,0001,89234234234234200
66812223548,52345487,T,A,,T,T,T,20,0,02,T,,,,0001,89234234234234200
66812223558,52345488,T,A,,T,T,T,20,0,02,T,,,,0001,89234234234234200
66812223568,52345489,T,A,,T,T,T,20,0,02,T,,,,0001,89234234234234200
66812223578,52345490,T,A,,T,T,T,20,0,02,T,,,,0001,89234234234234200
66812223588,52345491,T,A,,T,T,T,20,0,02,T,,,,0001,89234234234234200
66812223598,52345492,T,A,,T,T,T,20,0,02,T,,,,0001,89234234234234200
66812223608,52345493,T,A,,T,T,T,20,0,02,T,,,,0001,89234234234234200
66812223618,52345494,T,A,,T,T,T,20,0,02,T,,,,0001,89234234234234200
66812223628,52345495,T,A,,T,T,T,20,0,02,T,,,,0001,89234234234234200
66812223638,52345496,T,A,,T,T,T,20,0,02,T,,,,0001,89234234234234200
66812223648,52345497,T,A,,T,T,T,20,0,02,T,,,,0001,89234234234234200
66812223658,52345498,T,A,,T,T,T,20,0,02,T,,,,0001,89234234234234200
66812223668,52345499,T,A,,T,T,T,20,0,02,T,,,,0001,89234234234234200
66812223678,52345500,T,A,,T,T,T,20,0,02,T,,,,0001,89234234234234200
66812223688,52345501,T,A,,T,T,T,20,0,02,T,,,,0001,89234234234234200
66812223698,52345502,T,A,,T,T,T,20,0,02,T,,,,0001,89234234234234200
66812223708,52345503,T,A,,T,T,T,20,0,02,T,,,,0001,89234234234234200
66812223718,52345504,T,A,,T,T,T,20,0,02,T,,,,0001,89234234234234200
66812223728,52345505,T,A,,T,T,T,20,0,02,T,,,,0001,89234234234234200
66812223738,52345506,T,A,,T,T,T,20,0,02,T,,,,0001,89234234234234200
66812223748,52345507,T,A,,T,T,T,20,0,02,T,,,,0001,89234234234234200
66812223758,52345508,T,A,,T,T,T,20,0,02,T,,,,0001,89234234234234200
66812223768,52345509,T,A,,T,T,T,20,0,02,T,,,,0001,89234234234234200
66812223778,52345510,T,A,,T,T,T,20,0,02,T,,,,0001,89234234234234200
66812223788,52345511,T,A,,T,T,T,20,0,02,T,,,,0001,89234234234234200
66812223798,52345512,T,A,,T,T,T,20,0,02,T,,,,0001,89234234234234200
66812223808,52345513,T,A,,T,T,T,20,0,02,T,,,,0001,89234234234234200
66812223818,52345514,T,A,,T,T,T,20,0,02,T,,,,0001,89234234234234200
66812223828,52345515,T,A,,T,T,T,20,0,02,T,,,,0001,89234234234234200
66812223838,52345516,T,A,,T,T,T,20,0,02,T,,,,0001,89234234234234200
66812223848,52345517,T,A,,T,T,T,20,0,02,T,,,,0001,89234234234234200
66812223858,52345518,T,A,,T,T,T,20,0,02,T,,,,0001,89234234234234200
66812223868,52345519,T,A,,T,T,T,20,0,02,T,,,,0001,89234234234234200
